source_name,source_url,retrieved_at,source_last_known_update,method,limitations,row_count_raw,row_count_valid,issue_count
SIACAM mining projects,https://www.mecon.gob.ar/dataset/Cartera-de-Proyectos-Mineros-Metaliferos-y-Litio-del-SIACAM.xlsx,2026-08-28T23:24:37Z,2025-02-19,XLSX -> normalize -> validate -> point-in-polygon,Project attributes and freshness depend on the upstream SIACAM publication; spatial province is derived independently from coordinates.,331,331,0
Argentina provincial boundaries,https://raw.githubusercontent.com/juanmanueltorres-creator/pulso-publico-argentina/main/public/data/argentina-provinces.geojson,2026-08-28T23:24:37Z,,GeoJSON -> sf -> EPSG:4326,"Administrative boundaries provide territorial context and do not represent mining rights, cadastral parcels, or project footprints.",24,24,0
